ConCond,ListenCond,Par,Professor N is a good professor.,I would like to take a class with Professor N.,Professor N is a skilled leader.,Professor N is effective in teaching his students.,Professor N demonstrates a high level of emotional intelligence.,Professor N is a weak leader.,Professor N cares little about others' thoughts and opinions.,Professor N is open to feedback.,Professor N is not open to change.,Professor N communicates poorly with others.,Professor N has good listening skills.,T is a good manager.,I would like to work for T.,T is a skilled leader.,T is effective in managing his team.,T demonstrates a high level of emotional intelligence.,T is a weak leader.,T cares little about others' thoughts and opinions.,T is open to feedback.,T is not open to change.,T communicates poorly with others.,T has good listening skills.,Age,Gender,Academic year,Ethnic identity,Racial identity,Please indicate which of the following best describes you:,First Major,Second Major,Minor
1,Active,1,5,4,4,3,5,2,2,5,3,3,4,4,4,4,4,3,2,4,4,3,2,5,18,Female,Freshmen,Neither of the above categories,White,I am a student and do not work.,Communications,,
1,Active,2,6,6,5,2,2,3,1,6,3,3,6,5,4,4,3,3,4,3,6,5,2,5,18,Female,Freshmen,Neither of the above categories,Asian,I am a student and do not work.,Social and Behavioral Science,,
1,Active,3,6,6,6,6,7,3,2,7,2,2,6,6,6,6,6,6,2,2,6,3,2,6,19,Female,Freshmen,Neither of the above categories,White,I am a student and do not work.,Psychology,,
1,Active,4,6,6,5,5,4,2,1,7,2,2,6,5,5,5,4,4,2,3,4,2,3,4,19,Female,Freshmen,Neither of the above categories,White,"In addition to being a student, I also work intermittently.",Biochemistry,,
1,Active,5,6,6,6,5,7,2,1,7,6,1,7,6,6,6,6,7,2,2,6,3,2,6,19,Female,Sophomore,"Hispanic,Latino",Hispanic,"In addition to being a student, I work part-time.",Biology,,
1,Active,6,6,6,6,5,5,2,1,7,1,1,7,6,6,5,6,6,2,2,6,2,2,6,20,Male,Sophomore,Neither of the above categories,Asian,I am a student and do not work.,Biology,,
1,Active,7,7,7,7,7,7,1,1,7,1,1,7,7,7,7,7,7,1,7,7,1,1,7,19,Male,Freshmen,Neither of the above categories,White,"In addition to being a student, I work part-time.",Chemistry,,
1,Active,8,7,7,5,5,6,3,2,7,1,1,6,7,7,6,7,7,4,2,6,2,2,6,19,Female,Freshmen,Hispanic,White,"In addition to being a student, I work a full-time job.",Elementary Special Education,English,
1,Active,9,7,7,7,7,7,1,1,7,1,1,7,7,7,6,7,6,1,1,7,1,1,7,18,Female,Freshmen,Neither of the above categories,White,I am a student and do not work.,EDST Elementary Education with Special Education,,
1,Active,10,7,6,6,6,6,2,2,5,4,2,7,6,5,6,6,6,2,2,4,2,2,7,18,Female,Freshmen,Neither of the above categories,White,I am a student and do not work.,Pre-nursing,,
1,Active,11,7,7,7,7,7,1,1,7,1,1,7,6,6,6,6,5,1,3,3,6,1,3,19,Female,Freshmen,Neither of the above categories,White,I am a student and do not work.,Nursing ,,Nursing Leadership Ceritfication 
1,Active,12,5,5,4,4,5,2,2,6,2,2,6,5,5,5,5,5,2,2,5,2,2,5,19,Female,Sophomore,Neither of the above categories,White,"In addition to being a student, I also work intermittently.",Psychology,,
1,Active,13,6,5,5,6,5,2,2,6,2,2,6,6,6,6,6,5,1,2,4,3,2,6,19,Male,Sophomore,Neither of the above categories,White,"In addition to being a student, I also work intermittently.",Criminology ,,Business
1,Active,14,7,7,7,7,7,1,1,7,1,1,7,7,6,7,7,7,1,1,6,1,1,7,19,Female,Freshmen,Latino,White,I am a student and do not work.,Social Work,,
1,Active,15,5,5,5,6,7,1,1,5,1,1,7,6,6,6,5,6,1,1,6,1,1,6,19,Female,Freshmen,Hispanic,White,"In addition to being a student, I work part-time.",nursing,,
1,Inactive,16,6,6,6,5,5,2,1,7,2,1,6,4,2,2,2,2,6,4,3,4,6,2,19,Female,Sophomore,Neither of the above categories,White,"In addition to being a student, I work part-time.",Biology,,
1,Inactive,17,4,5,3,3,2,5,6,2,6,5,1,4,3,3,5,1,3,5,1,7,3,3,18,Female,Freshmen,Neither of the above categories,White,I am a student and do not work.,Biology,,
1,Inactive,18,4,3,5,3,3,7,6,2,6,7,1,5,5,5,5,4,5,6,4,7,7,2,18,Female,Freshmen,Neither of the above categories,White,I am a student and do not work.,Undecided,,
1,Inactive,19,4,3,4,3,2,2,3,3,6,3,3,3,1,3,3,1,3,5,3,5,5,2,21,Female,Junior,Neither of the above categories,White,"In addition to being a student, I work part-time.",Social and Behavioral Sciences,Speech Pathology Conentration,Social Work
1,Inactive,20,4,5,6,4,5,2,4,1,5,4,3,6,5,6,5,4,2,6,4,4,3,2,20,Female,Junior,Neither of the above categories,White,"In addition to being a student, I also work intermittently.",Biology,,Chemistry
1,Inactive,21,6,5,5,5,4,3,2,5,4,4,4,6,6,6,6,5,4,5,5,4,3,4,18,Female,Freshmen,Neither of the above categories,White,I am a student and do not work.,Elementary and Special Education,Social and Behavioral Sciences,
1,Inactive,22,5,5,4,4,5,3,2,7,2,3,5,4,3,4,5,3,3,3,5,2,3,4,19,Female,Sophomore,Neither of the above categories,Asian,I am a student and do not work.,Biology,,
1,Inactive,23,6,5,5,6,6,2,4,2,5,2,2,5,4,6,6,6,2,6,3,6,3,2,19,Female,Sophomore,Hispanic,White,I am a student and do not work.,Graphic Design and Advertising,,Web Design
1,Inactive,24,5,6,5,6,6,2,5,3,5,3,4,2,2,2,2,3,5,5,4,6,6,2,20,Male,Junior,Hispanic,White,I am a student and do not work.,Criminal Justice,,
1,Inactive,25,7,6,6,6,6,2,2,6,2,2,6,3,2,3,3,2,6,6,2,5,6,2,18,Female,Freshmen,Neither of the above categories,Asian,"In addition to being a student, I work part-time.",Biology,,
1,Inactive,26,5,4,4,4,4,5,4,4,4,4,4,6,5,5,5,4,6,4,4,4,4,4,20,Female,Sophomore,Neither of the above categories,Black or African American,"In addition to being a student, I work part-time.",Criminal justice ,,
1,Inactive,27,7,6,6,6,6,1,2,5,5,2,6,6,5,7,7,5,1,3,6,3,2,4,19,Female,Sophomore,Neither of the above categories,White,"In addition to being a student, I work part-time.",Special and Elementary Education with Speech Pathology,SBSS,
1,Inactive,28,6,5,5,6,4,2,3,3,7,4,4,5,4,5,3,4,4,5,2,5,5,5,18,Male,Freshmen,Neither of the above categories,White,I am a student and do not work.,Nursing,,Sociology
1,Inactive,29,5,5,5,5,5,5,5,6,4,4,4,6,6,6,6,6,6,4,4,4,3,3,18,Female,Freshmen,Neither of the above categories,White,I am a student and do not work.,Chemistry,,Psychology
1,Control,30,5,4,3,4,3,3,3,5,4,3,3,6,6,6,7,5,1,6,6,3,1,4,19,Female,Freshmen,Neither of the above categories,Asian,I am a student and do not work.,nursing,,
1,Control,31,6,6,5,7,4,2,2,4,3,2,4,5,5,5,6,4,2,4,4,3,3,4,19,Male,Freshmen,Neither of the above categories,Black or African American,I am a student and do not work.,Graphic Design,ADIM (Interactive Media),N/A
1,Control,32,6,6,6,6,5,3,5,5,4,2,3,5,5,5,6,4,3,4,4,4,3,4,18,Male,Freshmen,Neither of the above categories,White,I am a student and do not work.,Journalism,,Sports Media
1,Control,33,4,4,5,4,3,1,4,4,4,1,5,5,5,6,4,3,1,3,4,3,1,5,19,Male,Sophomore,"Hispanic,Latino",,"In addition to being a student, I work part-time.",Social Behavioral Sciences,,Psychology
1,Control,34,7,7,5,6,6,1,1,7,1,1,5,6,6,6,6,6,2,4,4,4,1,4,20,Female,Sophomore,Hispanic,White,"In addition to being a student, I work part-time.",biology,,
1,Control,35,7,7,6,6,6,2,2,6,1,7,6,5,6,5,6,4,2,3,3,3,2,4,19,Female,Freshmen,Neither of the above categories,Black or African American,"In addition to being a student, I also work intermittently.",Nursing,,
1,Control,36,7,7,6,5,4,2,4,5,3,2,3,7,7,7,6,4,3,4,3,5,5,4,18,Female,Freshmen,Neither of the above categories,Asian,I am a student and do not work.,Nursing,,
1,Control,37,4,5,6,6,5,2,1,5,4,1,4,6,6,6,6,5,2,2,4,5,1,4,18,Female,Freshmen,Neither of the above categories,White,"In addition to being a student, I also work intermittently.",Biology,,
1,Control,38,6,6,5,7,7,2,5,3,7,2,4,5,3,6,5,2,2,6,4,6,3,4,20,Male,Sophomore,Neither of the above categories,White,I am a student and do not work.,Biology/PT Dual Degree Program,,
1,Control,39,6,5,5,5,5,3,4,4,4,1,4,5,5,4,5,4,3,4,4,2,2,4,21,Female,Junior,Neither of the above categories,Asian,"In addition to being a student, I also work intermittently.",Business ,Law,
1,Control,40,6,6,5,5,3,2,2,5,4,1,3,6,6,6,5,4,2,4,3,7,4,4,18,Female,Freshmen,Neither of the above categories,White,I am a student and do not work.,Nursing ,,
1,Control,41,7,7,7,7,7,1,1,6,2,1,6,7,7,7,7,7,1,2,7,2,1,2,20,Female,Freshmen,Neither of the above categories,Asian,"In addition to being a student, I work part-time.",Biology,,
1,Control,42,6,6,6,6,5,1,1,6,2,1,5,6,4,5,6,6,1,1,5,2,1,4,21,Female,Sophomore,Neither of the above categories,"Black or African American,Other (specify)","In addition to being a student, I work part-time.",Biology,,
1,Control,43,7,6,5,5,4,3,2,6,1,1,5,6,5,7,6,3,2,5,4,3,2,5,18,Female,Freshmen,Hispanic,White,"In addition to being a student, I work part-time.",Psychology ,,
2,Active,44,5,5,5,5,5,2,1,5,2,2,5,4,3,5,5,4,3,3,5,3,4,5,18,Female,Freshmen,Neither of the above categories,White,"In addition to being a student, I work part-time.",Nursing,,
2,Active,45,4,5,7,4,4,3,7,7,3,1,6,7,7,7,6,6,1,1,7,1,1,7,18,Female,Freshmen,Neither of the above categories,Asian,I am a student and do not work.,Nursing,,
2,Active,46,7,7,6,6,7,1,1,7,1,1,7,7,7,6,7,7,1,1,7,1,1,7,18,Female,Freshmen,Neither of the above categories,Caribbean,"In addition to being a student, I work part-time.",Criminal Justice,,
2,Active,47,5,5,5,4,5,1,2,7,1,2,6,6,5,5,4,5,2,1,7,1,2,6,21,Female,Junior,Neither of the above categories,Asian,"In addition to being a student, I work part-time.",SOBT,,Social Work
2,Active,48,7,7,7,7,7,1,1,7,1,1,7,7,7,7,7,7,1,1,7,1,1,7,18,Female,Freshmen,Hispanic,White,"In addition to being a student, I work part-time.",Occupational Therapy,,
2,Active,49,6,6,6,6,6,1,1,7,1,1,7,7,7,6,7,7,1,1,7,1,1,7,18,Female,Freshmen,Neither of the above categories,"Native Hawaiian or Other Pacific Islander,White",I am a student and do not work.,Diplomacy and International Relations,,
2,Active,50,6,6,7,7,7,7,7,7,7,7,7,4,4,4,5,5,4,4,5,4,4,4,23,Female,Junior,Neither of the above categories,Black or African American,"In addition to being a student, I work part-time.",Psychology,,
2,Active,51,7,7,7,7,7,1,1,7,1,1,7,7,6,7,7,7,2,1,7,2,1,7,18,Female,Freshmen,Hispanic,,"In addition to being a student, I also work intermittently.",Nursing,,
2,Active,52,7,7,7,6,7,1,7,7,3,1,7,7,7,6,6,7,2,1,7,1,1,7,20,Female,Sophomore,Neither of the above categories,Asian,"In addition to being a student, I also work intermittently.",Biology,,Chemistry
