Condition,Professor N is a good professor.,I would like to take a class with Professor N.,Professor N is a skilled leader.,Professor N is effective in teaching his students.,Professor N demonstrates a high level of emotional intelligence.,Professor N is a weak leader.,Professor N cares little about others' thoughts and opinions.,Professor N is open to feedback.,Professor N is not open to change.,Professor N communicates poorly with others.,Professor N has good listening skills.,T is a good manager.,I would like to work for T.,T is a skilled leader.,T is effective in managing his team.,T demonstrates a high level of emotional intelligence.,T is a weak leader.,T cares little about others' thoughts and opinions.,T is open to feedback.,T is not open to change.,T communicates poorly with others.,T has good listening skills.,Age,Gender,Academic year,Ethnic identity,Racial identity,Please indicate which of the following best describes you:,First Major,Second Major,Minor
Active,5,4,4,3,5,2,2,5,3,3,4,4,4,4,4,3,2,4,4,3,2,5,18,Female,Freshmen,Neither of the above categories,White,I am a student and do not work.,Communications,,
Active,6,6,5,2,2,3,1,6,3,3,6,5,4,4,3,3,4,3,6,5,2,5,18,Female,Freshmen,Neither of the above categories,Asian,I am a student and do not work.,Social and Behavioral Science,,
Active,6,6,6,6,7,3,2,7,2,2,6,6,6,6,6,6,2,2,6,3,2,6,19,Female,Freshmen,Neither of the above categories,White,I am a student and do not work.,Psychology,,
Active,6,6,5,5,4,2,1,7,2,2,6,5,5,5,4,4,2,3,4,2,3,4,19,Female,Freshmen,Neither of the above categories,White,"In addition to being a student, I also work intermittently.",Biochemistry,,
Active,6,6,6,5,7,2,1,7,6,1,7,6,6,6,6,7,2,2,6,3,2,6,19,Female,Sophomore,"Hispanic,Latino",Hispanic,"In addition to being a student, I work part-time.",Biology,,
Active,6,6,6,5,5,2,1,7,1,1,7,6,6,5,6,6,2,2,6,2,2,6,20,Male,Sophomore,Neither of the above categories,Asian,I am a student and do not work.,Biology,,
Active,7,7,7,7,7,1,1,7,1,1,7,7,7,7,7,7,1,7,7,1,1,7,19,Male,Freshmen,Neither of the above categories,White,"In addition to being a student, I work part-time.",Chemistry,,
Active,7,7,5,5,6,3,2,7,1,1,6,7,7,6,7,7,4,2,6,2,2,6,19,Female,Freshmen,Hispanic,White,"In addition to being a student, I work a full-time job.",Elementary Special Education,English,
Active,7,7,7,7,7,1,1,7,1,1,7,7,7,6,7,6,1,1,7,1,1,7,18,Female,Freshmen,Neither of the above categories,White,I am a student and do not work.,EDST Elementary Education with Special Education,,
Active,7,6,6,6,6,2,2,5,4,2,7,6,5,6,6,6,2,2,4,2,2,7,18,Female,Freshmen,Neither of the above categories,White,I am a student and do not work.,Pre-nursing,,
Active,7,7,7,7,7,1,1,7,1,1,7,6,6,6,6,5,1,3,3,6,1,3,19,Female,Freshmen,Neither of the above categories,White,I am a student and do not work.,Nursing ,,Nursing Leadership Ceritfication 
Active,5,5,4,4,5,2,2,6,2,2,6,5,5,5,5,5,2,2,5,2,2,5,19,Female,Sophomore,Neither of the above categories,White,"In addition to being a student, I also work intermittently.",Psychology,,
Active,6,5,5,6,5,2,2,6,2,2,6,6,6,6,6,5,1,2,4,3,2,6,19,Male,Sophomore,Neither of the above categories,White,"In addition to being a student, I also work intermittently.",Criminology ,,Business
Active,7,7,7,7,7,1,1,7,1,1,7,7,6,7,7,7,1,1,6,1,1,7,19,Female,Freshmen,Latino,White,I am a student and do not work.,Social Work,,
Active,5,5,5,6,7,1,1,5,1,1,7,6,6,6,5,6,1,1,6,1,1,6,19,Female,Freshmen,Hispanic,White,"In addition to being a student, I work part-time.",nursing,,
Inactive,6,6,6,5,5,2,1,7,2,1,6,4,2,2,2,2,6,4,3,4,6,2,19,Female,Sophomore,Neither of the above categories,White,"In addition to being a student, I work part-time.",Biology,,
Inactive,4,5,3,3,2,5,6,2,6,5,1,4,3,3,5,1,3,5,1,7,3,3,18,Female,Freshmen,Neither of the above categories,White,I am a student and do not work.,Biology,,
Inactive,4,3,5,3,3,7,6,2,6,7,1,5,5,5,5,4,5,6,4,7,7,2,18,Female,Freshmen,Neither of the above categories,White,I am a student and do not work.,Undecided,,
Inactive,4,3,4,3,2,2,3,3,6,3,3,3,1,3,3,1,3,5,3,5,5,2,21,Female,Junior,Neither of the above categories,White,"In addition to being a student, I work part-time.",Social and Behavioral Sciences,Speech Pathology Conentration,Social Work
Inactive,4,5,6,4,5,2,4,1,5,4,3,6,5,6,5,4,2,6,4,4,3,2,20,Female,Junior,Neither of the above categories,White,"In addition to being a student, I also work intermittently.",Biology,,Chemistry
Inactive,6,5,5,5,4,3,2,5,4,4,4,6,6,6,6,5,4,5,5,4,3,4,18,Female,Freshmen,Neither of the above categories,White,I am a student and do not work.,Elementary and Special Education,Social and Behavioral Sciences,
Inactive,5,5,4,4,5,3,2,7,2,3,5,4,3,4,5,3,3,3,5,2,3,4,19,Female,Sophomore,Neither of the above categories,Asian,I am a student and do not work.,Biology,,
Inactive,6,5,5,6,6,2,4,2,5,2,2,5,4,6,6,6,2,6,3,6,3,2,19,Female,Sophomore,Hispanic,White,I am a student and do not work.,Graphic Design and Advertising,,Web Design
Inactive,5,6,5,6,6,2,5,3,5,3,4,2,2,2,2,3,5,5,4,6,6,2,20,Male,Junior,Hispanic,White,I am a student and do not work.,Criminal Justice,,
Inactive,7,6,6,6,6,2,2,6,2,2,6,3,2,3,3,2,6,6,2,5,6,2,18,Female,Freshmen,Neither of the above categories,Asian,"In addition to being a student, I work part-time.",Biology,,
Inactive,5,4,4,4,4,5,4,4,4,4,4,6,5,5,5,4,6,4,4,4,4,4,20,Female,Sophomore,Neither of the above categories,Black or African American,"In addition to being a student, I work part-time.",Criminal justice ,,
Inactive,7,6,6,6,6,1,2,5,5,2,6,6,5,7,7,5,1,3,6,3,2,4,19,Female,Sophomore,Neither of the above categories,White,"In addition to being a student, I work part-time.",Special and Elementary Education with Speech Pathology,SBSS,
Inactive,6,5,5,6,4,2,3,3,7,4,4,5,4,5,3,4,4,5,2,5,5,5,18,Male,Freshmen,Neither of the above categories,White,I am a student and do not work.,Nursing,,Sociology
Inactive,5,5,5,5,5,5,5,6,4,4,4,6,6,6,6,6,6,4,4,4,3,3,18,Female,Freshmen,Neither of the above categories,White,I am a student and do not work.,Chemistry,,Psychology
Control,5,4,3,4,3,3,3,5,4,3,3,6,6,6,7,5,1,6,6,3,1,4,19,Female,Freshmen,Neither of the above categories,Asian,I am a student and do not work.,nursing,,
Control,6,6,5,7,4,2,2,4,3,2,4,5,5,5,6,4,2,4,4,3,3,4,19,Male,Freshmen,Neither of the above categories,Black or African American,I am a student and do not work.,Graphic Design,ADIM (Interactive Media),N/A
Control,6,6,6,6,5,3,5,5,4,2,3,5,5,5,6,4,3,4,4,4,3,4,18,Male,Freshmen,Neither of the above categories,White,I am a student and do not work.,Journalism,,Sports Media
Control,4,4,5,4,3,1,4,4,4,1,5,5,5,6,4,3,1,3,4,3,1,5,19,Male,Sophomore,"Hispanic,Latino",,"In addition to being a student, I work part-time.",Social Behavioral Sciences,,Psychology
Control,7,7,5,6,6,1,1,7,1,1,5,6,6,6,6,6,2,4,4,4,1,4,20,Female,Sophomore,Hispanic,White,"In addition to being a student, I work part-time.",biology,,
Control,7,7,6,6,6,2,2,6,1,7,6,5,6,5,6,4,2,3,3,3,2,4,19,Female,Freshmen,Neither of the above categories,Black or African American,"In addition to being a student, I also work intermittently.",Nursing,,
Control,7,7,6,5,4,2,4,5,3,2,3,7,7,7,6,4,3,4,3,5,5,4,18,Female,Freshmen,Neither of the above categories,Asian,I am a student and do not work.,Nursing,,
Control,4,5,6,6,5,2,1,5,4,1,4,6,6,6,6,5,2,2,4,5,1,4,18,Female,Freshmen,Neither of the above categories,White,"In addition to being a student, I also work intermittently.",Biology,,
Control,6,6,5,7,7,2,5,3,7,2,4,5,3,6,5,2,2,6,4,6,3,4,20,Male,Sophomore,Neither of the above categories,White,I am a student and do not work.,Biology/PT Dual Degree Program,,
